level,subject,question,answer
Primary School,M,What is 7 x 8?,56
Primary School,S,What gas do plants produce?,Oxygen
Primary School,E,Who wrote Harry Potter?,J.K. Rowling
Primary School,H,What year did WW2 end?,1945
Primary School,G,What is the capital of France?,Paris
Primary School,C,What does RAM stand for?,Random Access Memory
Secondary School,M,What is the square root of 144?,12
Secondary School,S,What is H2O?,Water
Secondary School,E,Who wrote Romeo and Juliet?,William Shakespeare
Secondary School,H,Who was the first US President?,George Washington
Secondary School,G,What is the largest ocean?,Pacific Ocean
Secondary School,C,What does CPU stand for?,Central Processing Unit
Adult,M,What is Pi to 3 decimal places?,3.142
Adult,S,What is the speed of light?,299792458 m/s
Adult,E,Who wrote Pride and Prejudice?,Jane Austen
Adult,H,When was the Magna Carta signed?,1215
Adult,G,What is the capital of Australia?,Canberra
Adult,C,What does HTML stand for?,HyperText Markup Language
