level,subject,question,answer
Primary 2,C,What does RAM stand for?,Random Access Memory
Primary 2,C,What does CPU stand for?,Central Processing Unit
Primary 3,Sci,What is H2O?,Water
Primary 3,Sci,What gas do plants produce?,Oxygen
Primary 4,M,What is 7 x 8?,56
Primary 4,M,What is the square root of 144?,12
Secondary 1,H,Who was the first President of the USA?,George Washington
Secondary 1,H,In what year did World War 2 end?,1945
Secondary 2,G,What is the capital of France?,Paris
Secondary 2,G,What is the largest ocean?,Pacific Ocean
Secondary 3,E,What does the word 'benevolent' mean?,Kind and generous
Secondary 3,E,Who wrote Romeo and Juliet?,William Shakespeare
