level,subject,question,answer
Year 2,M,What is 2 x 5?,10
Year 2,S,Is a stone living or non-living?,Non-living
Year 2,E,Which word is a verb: "The cat sat"?,Sat
Year 2,H,When did the Great Fire start?,1666
Year 2,G,What is the capital of England?,London
Year 2,C,What is a computer instruction called?,Algorithm
Year 2,M,How many sides does a triangle have?,3
Year 2,S,Name a material that is waterproof.,Plastic or Glass
Year 2,E,What ends a question sentence?,Question mark
Year 2,H,Who was the "Lady with the Lamp"?,Florence Nightingale
Year 2,G,Name the four countries of the UK.,Eng Scot Wales NI
Year 2,C,Is a mouse used for input or output?,Input
Year 2,M,What is 10 + 10 + 10?,30
Year 2,S,What do plants need to grow?,Water and Light
Year 2,E,Find the adjective: "The red bus".,Red
Year 2,H,Where did the Great Fire start?,Pudding Lane
Year 2,G,Is Eastbourne a city or a town?,Town
Year 2,C,Should you share passwords with friends?,No
Year 2,M,What is half of 20?,10
Year 2,S,Name an animal that eats meat.,Lion or Tiger
Year 2,E,What is the plural of "Fox"?,Foxes
Year 2,H,Which King reigned in 1666?,Charles II
Year 2,G,Which ocean is west of the UK?,Atlantic Ocean
Year 2,C,What device do we use to type?,Keyboard
Year 2,M,How many cm in 1 metre?,100
Year 2,S,Is wood natural or man-made?,Natural
Year 2,E,Split "Raincoat" into two syllables.,Rain - coat
Year 2,H,Why did the fire spread fast?,Wooden houses
Year 2,G,Name a cold place on Earth.,North Pole
Year 2,C,Is a tablet hardware or software?,Hardware
Year 2,M,What is 5 x 10?,50
Year 2,S,Which part of a plant sucks up water?,Roots
Year 2,E,Which letter is silent in "Knee"?,K
Year 2,H,How did people fight the Great Fire?,Leather buckets
Year 2,G,What is the weather like at the Equator?,Hot
Year 2,C,What is a Beebot?,A floor robot
Year 2,M,Is 13 an odd or even number?,Odd
Year 2,S,What happens to ice when heated?,It melts
Year 2,E,Fix the sentence: "i like dogs".,Capital I
Year 2,H,What did Samuel Pepys write?,A diary
Year 2,G,What is an island?,Land with water around
Year 2,C,Name a search engine.,Google or Bing
Year 2,M,What is 100 - 10?,90
Year 2,S,Name a nocturnal animal.,Owl or Bat
Year 2,E,Rhyme a word with "Cat".,Hat or Mat
Year 2,H,Who built the first castles?,The Normans
Year 2,G,Where is Cavendish School located?,Eastbourne
Year 2,C,Is a screen input or output?,Output
Year 2,M,What shape has 4 equal sides?,Square
Year 2,S,Do fish breathe air?,Yes from water
Year 2,E,What is the opposite of "High"?,Low
Year 2,H,Is a 1920s car an artifact?,Yes
Year 2,G,Name the capital of Scotland.,Edinburgh
Year 2,C,What is an iPad?,A tablet
Year 2,M,What is 3 groups of 2?,6
Year 2,S,Is a spoon absorbent?,No
Year 2,E,Spell the number 2.,Two
Year 2,H,Who is our current King?,Charles III
Year 2,G,Where do penguins live?,Antarctica
Year 2,C,Can you send a letter by computer?,Yes via Email
Year 2,M,What is double 4?,8
Year 2,S,Name a material that is transparent.,Glass
Year 2,E,What is a noun?,Person place or thing
Year 2,H,Did the fire happen in Summer?,Yes
Year 2,G,Is the UK in Europe?,Yes
Year 2,C,What does www mean?,World Wide Web
Year 2,M,How many corners on a circle?,0
Year 2,S,Name a bird found in gardens.,Robin
Year 2,E,What is a full stop for?,End of sentence
Year 2,H,What color is a poppy?,Red
Year 2,G,What is a map key?,List of symbols
Year 2,C,What do you do if you see bad content?,Tell an adult
Year 6,M,What is 12 squared?,144
Year 6,S,Who developed the theory of Evolution?,Charles Darwin
Year 6,E,What is the subject: "The dog barked"?,The dog
Year 6,H,When was World War II?,1939 to 1945
Year 6,G,What is 0 degrees latitude called?,The Equator
Year 6,C,What is a variable in code?,A changing value
Year 6,M,Calculate 10% of 350.,35
Year 6,S,What force pulls us to Earth?,Gravity
Year 6,E,Define "Synonym".,Word with same meaning
Year 6,H,What was the "Blackout"?,Lights off at night
Year 6,G,What causes day and night?,Earth's rotation
Year 6,C,What does HTML stand for?,HyperText Markup Lang
Year 6,M,What is 0.75 as a fraction?,3/4
Year 6,S,How does light travel?,Straight lines
Year 6,E,Name the modal verb: "I might go".,Might
Year 6,H,Who were the "Allies"?,UK USA France USSR
Year 6,G,Name the 3 types of settlement.,Village Town City
Year 6,C,Is a printer input or output?,Output
Year 6,M,Sum of angles in a triangle?,180 degrees
Year 6,S,Which blood cells fight infection?,White blood cells
Year 6,E,What is a "relative clause"?,Starts with who/that
Year 6,H,What was the "Blitz"?,Bombing of cities
Year 6,G,What is the capital of France?,Paris
Year 6,C,What is "Phishing"?,Email data scam
